source_record_id,recipe_name,source_serving_unit,energy_kcal_per_serving,protein_g_per_serving,carb_g_per_serving,fat_g_per_serving,fiber_g_per_serving,source,source_ref,portion_status,conversion_method
ASC001,Hot tea (Garam Chai),tea cup,33.98374938964844,0.8165000081062317,5.434999942779541,1.1200000047683716,0.0,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC002,Instant coffee,tea cup,104.20124816894533,2.882999897003174,16.440000534057617,3.359999895095825,0.0,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC003,Espreso coffee,tea cup,81.69625091552734,2.7689998149871826,10.493499755859377,3.388999938964844,0.0,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC004,Iced tea,tall glass,33.095001220703125,0.0894999951124191,8.644999504089355,0.0350000001490116,0.0,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC005,Raw mango drink (Aam panna),tall glass,96.44041442871094,0.4216375052928924,24.292449951171875,0.0707250013947486,1.6432875394821167,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC006,Fruit Punch (with fresh juices),tall glass,196.59661865234372,0.758525013923645,51.06184005737305,0.1769199967384338,0.3269000053405761,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC007,Fruit Punch (with squashes),tall glass,116.2970962524414,0.3637750148773193,30.119091033935547,0.0846699997782707,0.8458999991416931,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC008,Lemonade,glass,72.64044952392578,0.1216000020503997,19.133899688720703,0.0364999994635582,0.0588999986648559,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC009,Lem-o-gin,glass,76.76319885253906,0.288100004196167,19.806650161743164,0.1002499982714653,0.4609000086784363,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC010,Cumin infused water (Jeere/Zeere ka pani),glass,30.80308151245117,0.5744500160217285,6.317924976348877,0.3744249939918518,1.5708000659942627,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC011,Coco pine cooler,tall glass,141.54014587402344,2.398940086364746,24.71183967590332,4.321919918060303,1.1118199825286863,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC012,Summer cooler,tall glass,110.94645690917967,1.849552035331726,26.86810302734375,0.1751099973917007,0.9730759859085084,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC014,Hot cocoa,cup,172.09100341796875,6.422999858856201,17.636999130249023,8.71500015258789,0.0,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC015,Cold coffee with ice cream,tall glass,204.56399536132807,4.733999729156494,33.90299987792969,6.360000133514404,0.0240000002086162,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
ASC016,Banana milkshake (Kele milkshake),tall glass,225.6337890625,6.368599891662598,31.597999572753903,8.19260025024414,0.8840000033378601,INDB,turn0search12,green_source_defined_serving,"Use source-defined serving directly; scale by fraction when user chooses 1/2, 1/4, 2x, etc."
